ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
19 7.23531 6.84274 0
20 6.47979 5.32181 0
21 1.51387 2.67645 0
22 4.25385 5.55595 0
23 3.58443 9.9082 0
24 5.60642 5.29268 0
25 6.96085 6.44167 0
26 5.16853 9.52791 0
27 0.0707403 5.04879 0
28 2.83558 6.24325 0
29 2.77518 3.82854 0
30 3.19451 0.349538 0
31 8.5582 0.710304 0
32 2.01002 2.06501 0
33 2.108 8.5498 0
34 8.73061 4.20255 0
35 4.79234 3.09369 0
36 5.5612 0.287926 0
37 0.835119 6.83923 0
38 2.48983 6.86527 0
39 5.35154 2.72763 0
40 0.381838 7.63993 0
41 9.26972 5.723 0
42 3.27992 3.95331 0
43 7.95748 5.15199 0
44 7.36463 1.2014 0
45 8.04695 7.79776 0
46 6.66008 8.35018 0
47 7.64941 9.61067 0
48 9.77892 8.17953 0
49 6.31993 6.71334 0
50 2.94561 9.78723 0
51 7.58228 9.99951 0
52 8.86127 5.09313 0
53 6.8288 4.0515 0
54 0.269241 3.77387 0
55 3.27758 2.75366 0
56 7.66466 9.73768 0
57 6.95007 3.49065 0
58 4.59389 8.19934 0
59 3.31931 2.76951 0
60 1.06432 6.66733 0
61 7.02773 8.90101 0
62 1.79232 3.85355 0
63 4.71513 6.09054 0
64 9.48231 3.42645 0
65 3.03468 4.94118 0
66 3.42305 7.79132 0
67 8.3285 0.825028 0
68 9.99012 5.59031 0
69 6.63106 1.18981 0
70 0.757001 4.42792 0
71 9.03735 2.11657 0
72 6.44985 2.99282 0
73 6.93123 6.71745 0
74 8.90619 4.71881 0
75 3.55436 9.09159 0
76 9.77332 6.51792 0
77 7.95679 4.08054 0
78 1.57494 2.74612 0
79 2.37558 8.70432 0
80 9.88901 8.80694 0
81 1.1172 2.18499 0
82 8.1985 2.01598 0
83 6.26857 4.84451 0
84 5.532 7.96425 0
85 5.00398 7.61582 0
86 7.65745 4.16919 0
87 0.0080847 3.69924 0
88 8.29761 1.1574 0
89 6.3154 4.88178 0
90 0.0136463 0.868604 0
91 6.64996 4.86115 0
92 2.31053 3.71352 0
93 0.567409 3.40886 0
94 1.65415 9.5957 0
95 0.777946 2.77829 0
96 0.227227 2.1783 0
97 5.85993 7.14544 0
98 9.58052 9.65491 0
99 6.79824 9.47737 0
100 1.95725 9.70365 0
ITEM: TIMESTEP
8
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 2.60986 4.2997 0
2 9.58784 7.49353 0
3 9.60392 0.650619 0
4 4.84616 8.16005 0
5 5.1526 3.38519 0
6 0.152584 7.03497 0
7 2.79567 5.46066 0
8 8.84745 1.49998 0
9 6.33 1.93597 0
10 9.04399 6.85602 0
11 9.04831 9.87443 0
12 8.36048 7.53559 0
13 1.87859 8.47 0
14 6.83256 0.113336 0
15 0.00293997 3.24716 0
16 6.82436 6.0889 0
17 0.521238 6.30039 0
18 4.76983 4.9741 0
19 2.67266 2.95082 0
20 7.46511 1.27193 0
21 0.273798 3.17737 0
22 3.14038 2.19279 0
23 1.32234 4.19138 0
24 7.36624 5.25316 0
25 2.088 1.36582 0
26 6.88308 7.69714 0
27 3.86343 2.6331 0
28 3.27575 7.60396 0
29 9.98581 8.61252 0
30 5.67642 0.927671 0
31 5.36415 6.24889 0
32 0.210622 4.59688 0
33 9.80131 8.94536 0
34 1.01008 0.281984 0
35 6.64532 9.0124 0
36 0.212501 0.171867 0
37 7.34188 5.26307 0
38 1.62399 9.44712 0
39 7.78578 3.84703 0
40 6.44115 4.15562 0
41 5.20729 6.49472 0
42 7.05131 3.29132 0
43 4.56596 5.73241 0
44 0.482153 3.61852 0
45 1.86146 5.57678 0
46 3.59962 2.14835 0
47 9.22501 7.71996 0
48 2.2024 1.33072 0
49 7.46972 8.59218 0
50 1.69821 0.174188 0
51 7.82387 3.47999 0
52 2.26091 8.41994 0
53 1.93912 6.54696 0
54 2.85601 5.55766 0
55 5.84023 6.17336 0
56 7.36785 9.75819 0
57 3.19721 2.34441 0
58 6.02754 1.00334 0
59 0.491401 9.14774 0
60 2.69474 1.68613 0
61 3.81145 4.19172 0
